Method,Schema,Dataset,Metric,F1,Precision,Recall
SmartSimpleAD,mts,machine-2,event-based f1 under pa with mode log,0.7778621530213861,0.7791938662235368,0.8192093192093193
SmartSimpleAD,mts,machine-2,event-based f1 under pa with mode squeeze,0.6759693791987161,0.7591785462617846,0.6888666888666887
SmartSimpleAD,mts,machine-3,best f1 under pa,0.939761171488012,0.9624890215658118,0.9259852215692818
SmartSimpleAD,mts,machine-3,event-based f1 under pa with mode log,0.6949397408718023,0.7246189729810418,0.70949081166867
SmartSimpleAD,mts,machine-3,event-based f1 under pa with mode squeeze,0.5662629118769463,0.6043650793650793,0.6400720491629581
TimeMixer,naive,machine-1,best f1 under pa,0.7075482441598613,0.6819241724087681,0.8048933256501972
TimeMixer,naive,machine-1,event-based f1 under pa with mode log,0.2218758205002298,0.8201086956521738,0.1516810327843161
TimeMixer,naive,machine-1,event-based f1 under pa with mode squeeze,0.17811793493245082,0.8416666666666661,0.10271291208791207
TimeMixer,naive,machine-2,best f1 under pa,0.7224038025750502,0.6653965972695265,0.8481619759823618
TimeMixer,naive,machine-2,event-based f1 under pa with mode log,0.2766951271199134,0.6710630826049091,0.2507877413432969
TimeMixer,naive,machine-2,event-based f1 under pa with mode squeeze,0.24546204823982556,0.6540804874138202,0.21358548858548845
TimeMixer,naive,machine-3,best f1 under pa,0.6906868362031752,0.7524658732639428,0.7285151379304406
TimeMixer,naive,machine-3,event-based f1 under pa with mode log,0.30785620192076396,0.600834598324997,0.3306355622598817
TimeMixer,naive,machine-3,event-based f1 under pa with mode squeeze,0.23532748116081412,0.5717881778045533,0.24821996185632544
USAD,mts,machine-1,best f1 under pa,0.8530675752403516,0.8265400066319325,0.9071170676122357
USAD,mts,machine-1,event-based f1 under pa with mode log,0.4638311372699259,0.48085889804639814,0.5402098732625271
USAD,mts,machine-1,event-based f1 under pa with mode squeeze,0.33586082864566763,0.5014996981755325,0.4263850732600732
USAD,mts,machine-2,best f1 under pa,0.8092927201576783,0.8559143522353034,0.8004064492495975
USAD,mts,machine-2,event-based f1 under pa with mode log,0.4389081499245673,0.7573505495203607,0.35893982505093613
USAD,mts,machine-2,event-based f1 under pa with mode squeeze,0.33807472483943024,0.7195767195767192,0.28650238650238635
USAD,mts,machine-3,best f1 under pa,0.789872087033964,0.884003774561629,0.7453339108185998
USAD,mts,machine-3,event-based f1 under pa with mode log,0.4328134184057629,0.68786530418971,0.4234757478859112
USAD,mts,machine-3,event-based f1 under pa with mode squeeze,0.29667184337416025,0.6299507084805588,0.3085293494384403
VotingEnsemble,mts,machine-1,best f1 under pa,0.8651417736014455,0.8980100393956076,0.8698483189541253
VotingEnsemble,mts,machine-1,event-based f1 under pa with mode log,0.6014700706127766,0.823040994623656,0.4776422427122325
VotingEnsemble,mts,machine-1,event-based f1 under pa with mode squeeze,0.5043814320665313,0.6546087184873949,0.4137362637362637
VotingEnsemble,mts,machine-2,best f1 under pa,0.861239160597837,0.8872422072396378,0.8494776831615274
VotingEnsemble,mts,machine-2,event-based f1 under pa with mode log,0.5607794283082719,0.7535402694207725,0.5275876181431737
VotingEnsemble,mts,machine-2,event-based f1 under pa with mode squeeze,0.5029385206980829,0.8349141824751578,0.41207958707958686
VotingEnsemble,mts,machine-3,best f1 under pa,0.715414009639042,0.9487755344191704,0.6100874552985173
VotingEnsemble,mts,machine-3,event-based f1 under pa with mode log,0.49070093168014833,0.9388047138047135,0.35855181317976237
VotingEnsemble,mts,machine-3,event-based f1 under pa with mode squeeze,0.43983339892430756,0.8751023751023745,0.3327929646111464
